language,total,large files,small p/ language,small proportion,small files,files available,files missing
Java,339.0,5.0,9686.0,0.014749262536873156,143.0,334.0,0.0
JavaScript,2.0,1.0,9976.0,0.5,4988.0,1.0,4987.0
Kotlin,1949.0,19.0,9287.0,0.009748589020010261,91.0,1930.0,0.0
Java,30.0,2.0,9686.0,0.06666666666666667,646.0,28.0,618.0
Kotlin,168.0,4.0,9287.0,0.023809523809523808,222.0,164.0,58.0
Kotlin,284.0,9.0,9287.0,0.03169014084507042,295.0,275.0,20.0
Lua,1238.0,8.0,5211.0,0.006462035541195477,34.0,1230.0,0.0
Lua,547.0,3.0,5211.0,0.005484460694698354,29.0,544.0,0.0
JavaScript,17.0,2.0,9976.0,0.11764705882352941,1174.0,15.0,1159.0
C,278.0,2.0,8977.0,0.007194244604316547,65.0,276.0,0.0
Lua,1866.0,1.0,5211.0,0.0005359056806002144,3.0,1865.0,0.0
Go,481.0,6.0,9017.0,0.012474012474012475,113.0,475.0,0.0
C,130.0,2.0,8977.0,0.015384615384615385,139.0,128.0,11.0
C++,292.0,5.0,8461.0,0.017123287671232876,145.0,287.0,0.0
JavaScript,112.0,13.0,9976.0,0.11607142857142858,1158.0,99.0,1059.0
Lua,1291.0,15.0,5211.0,0.011618900077459334,61.0,1276.0,0.0
Lua,32.0,1.0,5211.0,0.03125,163.0,31.0,132.0
Java,23.0,2.0,9686.0,0.08695652173913043,843.0,21.0,822.0
Lua,322.0,14.0,5211.0,0.043478260869565216,227.0,308.0,0.0
C,24.0,1.0,8977.0,0.041666666666666664,375.0,23.0,352.0
C#,8.0,4.0,9511.0,0.5,4756.0,4.0,4752.0
C++,127.0,1.0,8461.0,0.007874015748031496,67.0,126.0,0.0
Python,2.0,1.0,8935.0,0.5,4468.0,1.0,4467.0
Lua,301.0,53.0,5211.0,0.1760797342192691,918.0,248.0,670.0
C,476.0,4.0,8977.0,0.008403361344537815,76.0,472.0,0.0
C++,75.0,2.0,8461.0,0.02666666666666667,226.0,73.0,153.0
Lua,1736.0,9.0,5211.0,0.005184331797235023,28.0,1727.0,0.0
Python,23.0,1.0,8935.0,0.043478260869565216,389.0,22.0,367.0
Objective-C,230.0,2.0,6110.0,0.008695652173913044,54.0,228.0,0.0
Swift,13.0,1.0,7649.0,0.07692307692307693,589.0,12.0,577.0
Objective-C,27.0,1.0,6110.0,0.037037037037037035,227.0,26.0,201.0
Objective-C,80.0,11.0,6110.0,0.1375,841.0,69.0,772.0
Swift,185.0,31.0,7649.0,0.16756756756756758,1282.0,154.0,1128.0
Java,40.0,1.0,9686.0,0.025,243.0,39.0,204.0
TypeScript,78.0,1.0,9508.0,0.01282051282051282,122.0,77.0,45.0
Objective-C,1002.0,49.0,6110.0,0.04890219560878244,299.0,953.0,0.0
Python,181.0,4.0,8935.0,0.022099447513812154,198.0,177.0,21.0
Swift,243.0,12.0,7649.0,0.04938271604938271,378.0,231.0,147.0
Objective-C,180.0,2.0,6110.0,0.011111111111111112,68.0,178.0,0.0
Objective-C,17.0,2.0,6110.0,0.11764705882352941,719.0,15.0,704.0
Objective-C,123.0,3.0,6110.0,0.024390243902439025,150.0,120.0,30.0
JavaScript,5.0,1.0,9976.0,0.2,1996.0,4.0,1992.0
Objective-C,125.0,5.0,6110.0,0.04,245.0,120.0,125.0
Objective-C,58.0,2.0,6110.0,0.034482758620689655,211.0,56.0,155.0
Objective-C,9.0,1.0,6110.0,0.1111111111111111,679.0,8.0,671.0
Objective-C,176.0,1.0,6110.0,0.005681818181818182,35.0,175.0,0.0
Objective-C,506.0,12.0,6110.0,0.023715415019762844,145.0,494.0,0.0
Objective-C,126.0,3.0,6110.0,0.023809523809523808,146.0,123.0,23.0
JavaScript,29.0,1.0,9976.0,0.034482758620689655,344.0,28.0,316.0
Objective-C,61.0,1.0,6110.0,0.01639344262295082,101.0,60.0,41.0
C,489.0,5.0,8977.0,0.010224948875255624,92.0,484.0,0.0
Objective-C,9780.0,17.0,6110.0,0.001738241308793456,11.0,9763.0,0.0
Perl,1378.0,1.0,3692.0,0.000725689404934688,3.0,1377.0,0.0
Python,108.0,1.0,8935.0,0.009259259259259259,83.0,107.0,0.0
JavaScript,17.0,4.0,9976.0,0.23529411764705882,2348.0,13.0,2335.0
JavaScript,14.0,1.0,9976.0,0.07142857142857142,713.0,13.0,700.0
JavaScript,8092.0,88.0,9976.0,0.010874938210578349,109.0,8004.0,0.0
Perl,1314.0,2.0,3692.0,0.0015220700152207,6.0,1312.0,0.0
Swift,24.0,3.0,7649.0,0.125,957.0,21.0,936.0
TypeScript,170.0,1.0,9508.0,0.0058823529411764705,56.0,169.0,0.0
JavaScript,15.0,1.0,9976.0,0.06666666666666667,666.0,14.0,652.0
PHP,2332.0,30.0,8926.0,0.012864493996569469,115.0,2302.0,0.0
JavaScript,23.0,3.0,9976.0,0.13043478260869565,1302.0,20.0,1282.0
PHP,2.0,1.0,8926.0,0.5,4463.0,1.0,4462.0
PHP,9342.0,252.0,8926.0,0.02697495183044316,241.0,9090.0,0.0
PHP,561.0,5.0,8926.0,0.008912655971479501,80.0,556.0,0.0
PHP,587.0,17.0,8926.0,0.028960817717206135,259.0,570.0,0.0
JavaScript,2299.0,1.0,9976.0,0.00043497172683775554,5.0,2298.0,0.0
PHP,4869.0,33.0,8926.0,0.006777572396796057,61.0,4836.0,0.0
JavaScript,73.0,3.0,9976.0,0.0410958904109589,410.0,70.0,340.0
PHP,498.0,3.0,8926.0,0.006024096385542169,54.0,495.0,0.0
PHP,1543.0,1.0,8926.0,0.0006480881399870382,6.0,1542.0,0.0
PHP,150.0,1.0,8926.0,0.006666666666666667,60.0,149.0,0.0
PHP,2378.0,10.0,8926.0,0.004205214465937763,38.0,2368.0,0.0
JavaScript,557.0,56.0,9976.0,0.10053859964093358,1003.0,501.0,502.0
PHP,3026.0,18.0,8926.0,0.005948446794448116,54.0,3008.0,0.0
JavaScript,624.0,55.0,9976.0,0.08814102564102565,880.0,569.0,311.0
PHP,1640.0,77.0,8926.0,0.04695121951219512,420.0,1563.0,0.0
PHP,281.0,2.0,8926.0,0.0071174377224199285,64.0,279.0,0.0
PHP,336.0,3.0,8926.0,0.008928571428571428,80.0,333.0,0.0
PHP,1799.0,10.0,8926.0,0.005558643690939411,50.0,1789.0,0.0
PHP,743.0,8.0,8926.0,0.010767160161507403,97.0,735.0,0.0
PHP,6.0,1.0,8926.0,0.16666666666666666,1488.0,5.0,1483.0
JavaScript,236.0,9.0,9976.0,0.038135593220338986,381.0,227.0,154.0
PHP,1283.0,4.0,8926.0,0.003117692907248636,28.0,1279.0,0.0
PHP,521.0,6.0,8926.0,0.011516314779270634,103.0,515.0,0.0
JavaScript,11.0,2.0,9976.0,0.18181818181818182,1814.0,9.0,1805.0
PHP,1033.0,11.0,8926.0,0.010648596321393998,96.0,1022.0,0.0
PHP,221.0,1.0,8926.0,0.004524886877828055,41.0,220.0,0.0
Python,902.0,7.0,8935.0,0.007760532150776054,70.0,895.0,0.0
Python,2944.0,39.0,8935.0,0.013247282608695652,119.0,2905.0,0.0
JavaScript,22.0,2.0,9976.0,0.09090909090909091,907.0,20.0,887.0
Python,4038.0,4.0,8935.0,0.0009905894006934125,9.0,4034.0,0.0
C,192.0,1.0,8977.0,0.005208333333333333,47.0,191.0,0.0
C++,1966.0,15.0,8461.0,0.0076297049847405905,65.0,1951.0,0.0
JavaScript,5.0,1.0,9976.0,0.2,1996.0,4.0,1992.0
Python,3567.0,127.0,8935.0,0.03560414914493973,319.0,3440.0,0.0
JavaScript,111.0,3.0,9976.0,0.02702702702702703,270.0,108.0,162.0
Python,2171.0,30.0,8935.0,0.013818516812528788,124.0,2141.0,0.0
Python,1149.0,11.0,8935.0,0.009573542210617928,86.0,1138.0,0.0
Python,1165.0,3.0,8935.0,0.002575107296137339,24.0,1162.0,0.0
Python,13357.0,65.0,8935.0,0.004866362207082428,44.0,13292.0,0.0
Python,1396.0,2.0,8935.0,0.0014326647564469914,13.0,1394.0,0.0
Python,745.0,5.0,8935.0,0.006711409395973154,60.0,740.0,0.0
C,445.0,18.0,8977.0,0.04044943820224719,364.0,427.0,0.0
Python,1969.0,71.0,8935.0,0.03605891315388522,323.0,1898.0,0.0
JavaScript,11.0,2.0,9976.0,0.18181818181818182,1814.0,9.0,1805.0
Python,87.0,1.0,8935.0,0.011494252873563218,103.0,86.0,17.0
Python,873.0,15.0,8935.0,0.01718213058419244,154.0,858.0,0.0
JavaScript,13.0,2.0,9976.0,0.15384615384615385,1535.0,11.0,1524.0
Python,14.0,3.0,8935.0,0.21428571428571427,1915.0,11.0,1904.0
Python,1432.0,32.0,8935.0,0.0223463687150838,200.0,1400.0,0.0
Python,35.0,1.0,8935.0,0.02857142857142857,256.0,34.0,222.0
Python,333.0,1.0,8935.0,0.003003003003003003,27.0,332.0,0.0
JavaScript,66.0,2.0,9976.0,0.030303030303030304,303.0,64.0,239.0
Ruby,3270.0,90.0,9419.0,0.027522935779816515,260.0,3180.0,0.0
JavaScript,5.0,1.0,9976.0,0.2,1996.0,4.0,1992.0
Ruby,189.0,1.0,9419.0,0.005291005291005291,50.0,188.0,0.0
Ruby,2600.0,4.0,9419.0,0.0015384615384615385,15.0,2596.0,0.0
JavaScript,37.0,3.0,9976.0,0.08108108108108109,809.0,34.0,775.0
Ruby,446.0,2.0,9419.0,0.004484304932735426,43.0,444.0,0.0
JavaScript,2751.0,24.0,9976.0,0.008724100327153763,88.0,2727.0,0.0
Ruby,5818.0,108.0,9419.0,0.018563080096253008,175.0,5710.0,0.0
Ruby,1600.0,27.0,9419.0,0.016875,159.0,1573.0,0.0
Ruby,1266.0,10.0,9419.0,0.007898894154818325,75.0,1256.0,0.0
Swift,66.0,1.0,7649.0,0.015151515151515152,116.0,65.0,51.0
C++,177.0,1.0,8461.0,0.005649717514124294,48.0,176.0,0.0
Objective-C,28.0,1.0,6110.0,0.03571428571428571,219.0,27.0,192.0
Ruby,7643.0,70.0,9419.0,0.009158707313881983,87.0,7573.0,0.0
Go,264.0,1.0,9017.0,0.003787878787878788,35.0,263.0,0.0
Ruby,1596.0,16.0,9419.0,0.010025062656641603,95.0,1580.0,0.0
JavaScript,5912.0,24.0,9976.0,0.0040595399188092015,41.0,5888.0,0.0
Ruby,28305.0,194.0,9419.0,0.006853912736265677,65.0,28111.0,0.0
C,501.0,19.0,8977.0,0.03792415169660679,341.0,482.0,0.0
Ruby,7965.0,201.0,9419.0,0.025235404896421846,238.0,7764.0,0.0
Rust,71.0,3.0,8690.0,0.04225352112676056,368.0,68.0,300.0
Ruby,7192.0,3.0,9419.0,0.0004171301446051168,4.0,7189.0,0.0
JavaScript,753.0,1.0,9976.0,0.0013280212483399733,14.0,752.0,0.0
Ruby,1448.0,4.0,9419.0,0.0027624309392265192,27.0,1444.0,0.0
Objective-C,204.0,4.0,6110.0,0.0196078431372549,120.0,200.0,0.0
Ruby,346.0,13.0,9419.0,0.03757225433526012,354.0,333.0,21.0
JavaScript,3.0,1.0,9976.0,0.3333333333333333,3326.0,2.0,3324.0
Ruby,29.0,1.0,9419.0,0.034482758620689655,325.0,28.0,297.0
Ruby,913.0,2.0,9419.0,0.002190580503833516,21.0,911.0,0.0
Ruby,7199.0,1.0,9419.0,0.00013890818169190166,2.0,7198.0,0.0
Ruby,157.0,3.0,9419.0,0.01910828025477707,180.0,154.0,26.0
Ruby,1486.0,11.0,9419.0,0.007402422611036339,70.0,1475.0,0.0
Ruby,451.0,25.0,9419.0,0.05543237250554324,523.0,426.0,97.0
Ruby,1576.0,40.0,9419.0,0.025380710659898477,240.0,1536.0,0.0
Ruby,30.0,1.0,9419.0,0.03333333333333333,314.0,29.0,285.0
Ruby,159.0,5.0,9419.0,0.031446540880503145,297.0,154.0,143.0
C,24.0,1.0,8977.0,0.041666666666666664,375.0,23.0,352.0
JavaScript,32.0,6.0,9976.0,0.1875,1871.0,26.0,1845.0
Objective-C,12.0,2.0,6110.0,0.16666666666666666,1019.0,10.0,1009.0
PHP,19.0,1.0,8926.0,0.05263157894736842,470.0,18.0,452.0
Ruby,68.0,2.0,9419.0,0.029411764705882353,278.0,66.0,212.0
Ruby,63.0,1.0,9419.0,0.015873015873015872,150.0,62.0,88.0
JavaScript,137.0,2.0,9976.0,0.014598540145985401,146.0,135.0,11.0
Rust,31287.0,166.0,8690.0,0.005305718029852654,47.0,31121.0,0.0
TypeScript,26.0,1.0,9508.0,0.038461538461538464,366.0,25.0,341.0
JavaScript,1443.0,13.0,9976.0,0.009009009009009009,90.0,1430.0,0.0
Rust,477.0,25.0,8690.0,0.05241090146750524,456.0,452.0,4.0
TypeScript,1615.0,27.0,9508.0,0.01671826625386997,159.0,1588.0,0.0
Rust,294.0,4.0,8690.0,0.013605442176870748,119.0,290.0,0.0
Dart,103.0,5.0,8284.0,0.04854368932038835,403.0,98.0,305.0
Kotlin,12.0,2.0,9287.0,0.16666666666666666,1548.0,10.0,1538.0
Rust,235.0,10.0,8690.0,0.0425531914893617,370.0,225.0,145.0
Rust,742.0,18.0,8690.0,0.02425876010781671,211.0,724.0,0.0
Rust,583.0,4.0,8690.0,0.00686106346483705,60.0,579.0,0.0
Rust,86.0,2.0,8690.0,0.023255813953488372,203.0,84.0,119.0
JavaScript,4.0,1.0,9976.0,0.25,2494.0,3.0,2491.0
Python,7.0,1.0,8935.0,0.14285714285714285,1277.0,6.0,1271.0
Rust,68.0,1.0,8690.0,0.014705882352941176,128.0,67.0,61.0
Rust,98.0,3.0,8690.0,0.030612244897959183,267.0,95.0,172.0
Rust,199.0,4.0,8690.0,0.020100502512562814,175.0,195.0,0.0
Rust,436.0,14.0,8690.0,0.03211009174311927,280.0,422.0,0.0
Rust,218.0,2.0,8690.0,0.009174311926605505,80.0,216.0,0.0
Rust,1077.0,61.0,8690.0,0.056638811513463325,493.0,1016.0,0.0
JavaScript,9.0,3.0,9976.0,0.3333333333333333,3326.0,6.0,3320.0
Rust,55.0,2.0,8690.0,0.03636363636363636,316.0,53.0,263.0
Rust,141.0,10.0,8690.0,0.07092198581560284,617.0,131.0,486.0
Rust,1269.0,16.0,8690.0,0.01260835303388495,110.0,1253.0,0.0
Rust,24.0,1.0,8690.0,0.041666666666666664,363.0,23.0,340.0
Rust,218.0,7.0,8690.0,0.03211009174311927,280.0,211.0,69.0
Rust,1418.0,7.0,8690.0,0.004936530324400564,43.0,1411.0,0.0
JavaScript,24924.0,106.0,9976.0,0.004252928903867758,43.0,24818.0,0.0
Rust,1026.0,43.0,8690.0,0.04191033138401559,365.0,983.0,0.0
TypeScript,9387.0,50.0,9508.0,0.005326515393629488,51.0,9337.0,0.0
Rust,312.0,3.0,8690.0,0.009615384615384616,84.0,309.0,0.0
Rust,88.0,2.0,8690.0,0.022727272727272728,198.0,86.0,112.0
Python,2876.0,4.0,8935.0,0.0013908205841446453,13.0,2872.0,0.0
Rust,1454.0,22.0,8690.0,0.015130674002751032,132.0,1432.0,0.0
Python,579.0,8.0,8935.0,0.013816925734024179,124.0,571.0,0.0
Rust,1771.0,7.0,8690.0,0.003952569169960474,35.0,1764.0,0.0
Rust,910.0,14.0,8690.0,0.015384615384615385,134.0,896.0,0.0
JavaScript,142.0,2.0,9976.0,0.014084507042253521,141.0,140.0,1.0
Rust,307.0,1.0,8690.0,0.003257328990228013,29.0,306.0,0.0
Rust,194.0,8.0,8690.0,0.041237113402061855,359.0,186.0,173.0
Java,1043.0,4.0,9686.0,0.003835091083413231,38.0,1039.0,0.0
Scala,4193.0,8.0,8926.0,0.0019079418077748629,18.0,4185.0,0.0
Java,1182.0,8.0,9686.0,0.00676818950930626,66.0,1174.0,0.0
JavaScript,38.0,2.0,9976.0,0.05263157894736842,526.0,36.0,490.0
Python,1198.0,16.0,8935.0,0.01335559265442404,120.0,1182.0,0.0
Scala,5132.0,172.0,8926.0,0.03351519875292284,300.0,4960.0,0.0
Scala,724.0,12.0,8926.0,0.016574585635359115,148.0,712.0,0.0
TypeScript,364.0,4.0,9508.0,0.01098901098901099,105.0,360.0,0.0
JavaScript,134.0,2.0,9976.0,0.014925373134328358,149.0,132.0,17.0
Scala,1490.0,6.0,8926.0,0.004026845637583893,36.0,1484.0,0.0
TypeScript,591.0,2.0,9508.0,0.00338409475465313,33.0,589.0,0.0
Scala,8896.0,40.0,8926.0,0.0044964028776978415,41.0,8856.0,0.0
Java,554.0,22.0,9686.0,0.039711191335740074,385.0,532.0,0.0
Scala,2645.0,18.0,8926.0,0.006805293005671078,61.0,2627.0,0.0
Java,650.0,4.0,9686.0,0.006153846153846154,60.0,646.0,0.0
Scala,864.0,2.0,8926.0,0.0023148148148148147,21.0,862.0,0.0
Scala,107.0,2.0,8926.0,0.018691588785046728,167.0,105.0,62.0
JavaScript,423.0,48.0,9976.0,0.11347517730496454,1133.0,375.0,758.0
Scala,248.0,2.0,8926.0,0.008064516129032258,72.0,246.0,0.0
Java,127.0,1.0,9686.0,0.007874015748031496,77.0,126.0,0.0
Scala,1895.0,4.0,8926.0,0.0021108179419525065,19.0,1891.0,0.0
Java,1523.0,4.0,9686.0,0.0026263952724885093,26.0,1519.0,0.0
Rust,338.0,2.0,8690.0,0.005917159763313609,52.0,336.0,0.0
Scala,1257.0,19.0,8926.0,0.015115354017501989,135.0,1238.0,0.0
TypeScript,857.0,8.0,9508.0,0.009334889148191364,89.0,849.0,0.0
Scala,898.0,35.0,8926.0,0.03897550111358575,348.0,863.0,0.0
Scala,547.0,13.0,8926.0,0.02376599634369287,213.0,534.0,0.0
Java,264.0,1.0,9686.0,0.003787878787878788,37.0,263.0,0.0
Scala,793.0,1.0,8926.0,0.0012610340479192938,12.0,792.0,0.0
JavaScript,398.0,3.0,9976.0,0.007537688442211055,76.0,395.0,0.0
Scala,1150.0,2.0,8926.0,0.0017391304347826088,16.0,1148.0,0.0
JavaScript,18.0,1.0,9976.0,0.05555555555555555,555.0,17.0,538.0
Scala,15279.0,60.0,8926.0,0.0039269585705870805,36.0,15219.0,0.0
JavaScript,46.0,2.0,9976.0,0.043478260869565216,434.0,44.0,390.0
Scala,743.0,2.0,8926.0,0.0026917900403768506,25.0,741.0,0.0
Scala,836.0,1.0,8926.0,0.0011961722488038277,11.0,835.0,0.0
Scala,1905.0,7.0,8926.0,0.003674540682414698,33.0,1898.0,0.0
Scala,574.0,2.0,8926.0,0.003484320557491289,32.0,572.0,0.0
Scala,1362.0,33.0,8926.0,0.024229074889867842,217.0,1329.0,0.0
Scala,1812.0,62.0,8926.0,0.03421633554083885,306.0,1750.0,0.0
JavaScript,2.0,2.0,9976.0,1.0,9976.0,0.0,9976.0
Scala,879.0,6.0,8926.0,0.006825938566552901,61.0,873.0,0.0
Scala,860.0,22.0,8926.0,0.02558139534883721,229.0,838.0,0.0
JavaScript,5.0,1.0,9976.0,0.2,1996.0,4.0,1992.0
Swift,92.0,9.0,7649.0,0.09782608695652174,749.0,83.0,666.0
Swift,175.0,10.0,7649.0,0.05714285714285714,438.0,165.0,273.0
Objective-C,47.0,1.0,6110.0,0.02127659574468085,130.0,46.0,84.0
Swift,306.0,1.0,7649.0,0.0032679738562091504,25.0,305.0,0.0
Swift,205.0,2.0,7649.0,0.00975609756097561,75.0,203.0,0.0
Swift,315.0,1.0,7649.0,0.0031746031746031746,25.0,314.0,0.0
Swift,129.0,1.0,7649.0,0.007751937984496124,60.0,128.0,0.0
Swift,206.0,6.0,7649.0,0.02912621359223301,223.0,200.0,23.0
JavaScript,5.0,1.0,9976.0,0.2,1996.0,4.0,1992.0
Swift,587.0,10.0,7649.0,0.017035775127768313,131.0,577.0,0.0
Swift,272.0,3.0,7649.0,0.011029411764705883,85.0,269.0,0.0
Swift,159.0,4.0,7649.0,0.025157232704402517,193.0,155.0,38.0
Swift,22.0,1.0,7649.0,0.045454545454545456,348.0,21.0,327.0
Swift,105.0,5.0,7649.0,0.047619047619047616,365.0,100.0,265.0
JavaScript,5.0,1.0,9976.0,0.2,1996.0,4.0,1992.0
Swift,138.0,1.0,7649.0,0.007246376811594203,56.0,137.0,0.0
Swift,148.0,1.0,7649.0,0.006756756756756757,52.0,147.0,0.0
Swift,641.0,1.0,7649.0,0.0015600624024961,12.0,640.0,0.0
Objective-C,42.0,1.0,6110.0,0.023809523809523808,146.0,41.0,105.0
Swift,167.0,3.0,7649.0,0.017964071856287425,138.0,164.0,0.0
Swift,63.0,1.0,7649.0,0.015873015873015872,122.0,62.0,60.0
Swift,88.0,2.0,7649.0,0.022727272727272728,174.0,86.0,88.0
JavaScript,82.0,2.0,9976.0,0.024390243902439025,244.0,80.0,164.0
Swift,2091.0,27.0,7649.0,0.01291248206599713,99.0,2064.0,0.0
Swift,99.0,1.0,7649.0,0.010101010101010102,78.0,98.0,0.0
TypeScript,389.0,11.0,9508.0,0.028277634961439587,269.0,378.0,0.0
JavaScript,241.0,14.0,9976.0,0.058091286307053944,580.0,227.0,353.0
TypeScript,5147.0,191.0,9508.0,0.0371089955313775,353.0,4956.0,0.0
JavaScript,15192.0,303.0,9976.0,0.019944707740916272,199.0,14889.0,0.0
TypeScript,19798.0,94.0,9508.0,0.004747954338822104,46.0,19704.0,0.0
JavaScript,805.0,5.0,9976.0,0.006211180124223602,62.0,800.0,0.0
TypeScript,5028.0,106.0,9508.0,0.021081941129673827,201.0,4922.0,0.0
JavaScript,24712.0,11.0,9976.0,0.00044512787309809,5.0,24701.0,0.0
TypeScript,4045.0,13.0,9508.0,0.0032138442521631645,31.0,4032.0,0.0
TypeScript,2476.0,8.0,9508.0,0.0032310177705977385,31.0,2468.0,0.0
TypeScript,332.0,12.0,9508.0,0.03614457831325301,344.0,320.0,24.0
TypeScript,223.0,12.0,9508.0,0.053811659192825115,512.0,211.0,301.0
JavaScript,31.0,1.0,9976.0,0.03225806451612903,322.0,30.0,292.0
TypeScript,503.0,22.0,9508.0,0.0437375745526839,416.0,481.0,0.0
TypeScript,138.0,2.0,9508.0,0.014492753623188406,138.0,136.0,2.0
JavaScript,163.0,6.0,9976.0,0.03680981595092025,368.0,157.0,211.0
TypeScript,3567.0,18.0,9508.0,0.005046257359125316,48.0,3549.0,0.0
TypeScript,445.0,11.0,9508.0,0.024719101123595506,236.0,434.0,0.0
TypeScript,1429.0,2.0,9508.0,0.0013995801259622112,14.0,1427.0,0.0
JavaScript,210.0,13.0,9976.0,0.06190476190476191,618.0,197.0,421.0
TypeScript,1085.0,29.0,9508.0,0.026728110599078342,255.0,1056.0,0.0
Go,3725.0,9.0,9017.0,0.0024161073825503354,22.0,3716.0,0.0
JavaScript,102.0,1.0,9976.0,0.00980392156862745,98.0,101.0,0.0
TypeScript,6739.0,46.0,9508.0,0.006825938566552901,65.0,6693.0,0.0
TypeScript,670.0,5.0,9508.0,0.007462686567164179,71.0,665.0,0.0
JavaScript,178.0,3.0,9976.0,0.016853932584269662,169.0,175.0,0.0
TypeScript,161.0,1.0,9508.0,0.006211180124223602,60.0,160.0,0.0
JavaScript,274.0,4.0,9976.0,0.014598540145985401,146.0,270.0,0.0
Python,1241.0,12.0,8935.0,0.009669621273166801,87.0,1229.0,0.0
TypeScript,2309.0,16.0,9508.0,0.006929406669553919,66.0,2293.0,0.0
JavaScript,230.0,9.0,9976.0,0.0391304347826087,391.0,221.0,170.0
TypeScript,597.0,8.0,9508.0,0.01340033500837521,128.0,589.0,0.0
TypeScript,428.0,1.0,9508.0,0.002336448598130841,23.0,427.0,0.0
TypeScript,1241.0,4.0,9508.0,0.0032232070910556,31.0,1237.0,0.0
TypeScript,481.0,28.0,9508.0,0.058212058212058215,554.0,453.0,101.0
TypeScript,1086.0,4.0,9508.0,0.003683241252302026,36.0,1082.0,0.0
JavaScript,868.0,2.0,9976.0,0.002304147465437788,23.0,866.0,0.0
TypeScript,821.0,12.0,9508.0,0.014616321559074299,139.0,809.0,0.0
TypeScript,30.0,1.0,9508.0,0.03333333333333333,317.0,29.0,288.0
JavaScript,13471.0,7.0,9976.0,0.0005196347709895331,6.0,13464.0,0.0
TypeScript,1367.0,17.0,9508.0,0.012435991221653255,119.0,1350.0,0.0
JavaScript,57.0,2.0,9976.0,0.03508771929824561,351.0,55.0,296.0
TypeScript,1263.0,33.0,9508.0,0.026128266033254157,249.0,1230.0,0.0
